time from scenario start,umv response duration ms
00:04:03.24,1502
00:04:03.34,1680
00:04:03.39,1714
00:04:03.59,1663
00:04:03.65,1690
00:04:03.79,1501
00:04:03.84,1670
00:04:03.92,1706
00:04:04.10,1443
00:04:04.18,1500
00:04:04.28,1502
00:04:04.35,1652
00:04:04.42,1501
00:04:04.43,1502
00:04:04.43,1666
00:04:04.48,1502
00:04:04.57,1502
00:04:04.61,1691
00:04:04.69,1740
00:04:04.73,1501
00:04:04.84,1501
00:04:04.86,1641
00:04:04.93,1502
00:04:04.94,1722
00:04:04.95,1501
00:04:05.02,1501
00:04:05.04,1501
00:04:05.07,1501
00:04:05.10,1501
00:04:05.11,1717
00:04:05.18,1502
00:04:05.19,1753
00:04:05.33,1502
00:04:05.37,1730
00:04:05.45,1720
00:04:05.55,1502
00:04:05.56,1502
00:04:05.62,1674
00:04:05.66,1501
00:04:05.70,1704
00:04:05.75,1501
00:04:05.79,1501
00:04:05.87,1739
00:04:05.95,1705
00:04:06.02,1502
00:04:06.06,1501
00:04:06.13,1700
00:04:06.18,1501
00:04:06.21,1697
00:04:06.26,1502
00:04:06.26,1501
00:04:06.35,1501
00:04:06.38,1714
00:04:06.40,1501
00:04:06.46,1737
00:04:06.59,1501
00:04:06.60,1502
00:04:06.63,1752
00:04:06.71,1740
00:04:06.76,1501
00:04:06.80,1501
00:04:06.80,1501
00:04:06.83,1501
00:04:06.86,1501
00:04:06.88,1729
00:04:06.97,1713
00:04:07.14,1653
00:04:07.20,1501
00:04:07.22,1501
00:04:07.22,1695
00:04:07.35,1501
00:04:07.35,1501
00:04:07.39,1702
00:04:07.47,1659
00:04:07.54,1501
00:04:07.55,1502
00:04:07.60,1501
00:04:07.64,1666
00:04:07.73,1703
00:04:07.85,1502
00:04:07.90,1698
00:04:07.96,1502
00:04:07.98,1677
00:04:08.07,1506
00:04:08.10,1501
00:04:08.11,1501
00:04:08.15,1705
00:04:08.22,1501
00:04:08.23,1502
00:04:08.24,1747
00:04:08.36,1501
00:04:08.39,1502
00:04:08.40,1737
00:04:08.46,1501
00:04:08.49,1717
00:04:08.66,1707
00:04:08.74,1706
00:04:08.79,1501
00:04:08.81,1501
00:04:08.84,1501
00:04:08.86,1501
00:04:08.88,1502
00:04:08.91,1692
00:04:08.99,1719
00:04:09.02,1502
00:04:09.16,1723
00:04:09.25,1739
00:04:09.29,1501
00:04:09.34,1501
00:04:09.37,1501
00:04:09.37,1501
00:04:09.42,1708
00:04:09.50,1735
00:04:09.66,1501
00:04:09.67,1501
00:04:09.67,1602
00:04:09.75,1685
00:04:09.92,1719
00:04:10.00,1502
00:04:10.01,1549
00:04:10.07,1501
00:04:10.07,1501
00:04:10.08,1502
00:04:10.09,1501
00:04:10.12,1501
00:04:10.18,1699
00:04:10.26,1736
00:04:10.34,1501
00:04:10.35,1501
00:04:10.38,1501
00:04:10.38,1502
00:04:10.43,1689
00:04:10.46,1502
00:04:10.46,1501
00:04:10.49,1501
00:04:10.51,1688
00:04:10.60,1501
00:04:10.68,1745
00:04:10.77,1736
00:04:10.86,1502
00:04:10.89,1502
00:04:10.92,1501
00:04:10.94,1698
00:04:11.02,1720
00:04:11.13,1502
00:04:11.19,1502
00:04:11.19,1695
00:04:11.27,1714
00:04:11.33,1501
00:04:11.44,1713
00:04:11.53,1716
00:04:11.62,1501
00:04:11.64,1501
00:04:11.70,1611
00:04:11.78,1680
00:04:11.91,1501
00:04:11.94,1501
00:04:11.95,1703
00:04:12.03,1689
00:04:12.04,1501
00:04:12.08,1501
00:04:12.09,1502
00:04:12.09,1501
00:04:12.13,1501
00:04:12.16,1502
00:04:12.20,1714
00:04:12.29,1752
00:04:12.39,1502
00:04:12.46,1501
00:04:12.46,1701
00:04:12.54,1726
00:04:12.70,1501
00:04:12.71,1740
00:04:12.76,1501
00:04:12.78,1501
00:04:12.80,1753
00:04:12.81,1501
00:04:12.83,1502
00:04:12.88,1505
00:04:12.88,1505
00:04:12.88,1501
00:04:12.96,1728
00:04:13.05,1755
00:04:13.12,1501
00:04:13.20,1502
00:04:13.21,1501
00:04:13.21,1685
00:04:13.26,1501
00:04:13.28,1501
00:04:13.30,1698
00:04:13.47,1734
00:04:13.56,1736
00:04:13.64,1501
00:04:13.65,1501
00:04:13.67,1501
00:04:13.73,1722
00:04:13.76,1501
00:04:13.77,1502
00:04:13.81,1693
00:04:13.95,1502
00:04:13.98,1750
00:04:14.06,1747
00:04:14.17,1501
00:04:14.17,1502
00:04:14.18,1502
00:04:14.21,1501
00:04:14.24,1502
00:04:14.24,1710
00:04:14.30,1502
00:04:14.30,1501
00:04:14.32,1711
00:04:14.34,1502
00:04:14.35,1501
00:04:14.37,1502
00:04:14.40,1501
00:04:14.41,1501
00:04:14.42,1501
00:04:14.44,1501
00:04:14.47,1501
00:04:14.49,1720
00:04:14.57,1501
00:04:14.57,1734
00:04:14.75,1689
00:04:14.82,1735
00:04:14.84,1501
00:04:14.85,1501
00:04:14.92,1502
00:04:14.96,1502
00:04:15.00,1502
00:04:15.00,1731
00:04:15.05,1502
00:04:15.08,1746
00:04:15.09,1501
00:04:15.13,1523
00:04:15.13,1504
00:04:15.16,1502
00:04:15.23,1502
00:04:15.25,1502
00:04:15.25,1739
00:04:15.33,1759
00:04:15.37,1501
00:04:15.39,1502
00:04:15.46,1501
00:04:15.51,1698
00:04:15.59,1720
00:04:15.69,1501
00:04:15.70,1501
00:04:15.76,1713
00:04:15.83,1501
00:04:15.84,1501
00:04:15.84,1674
00:04:15.98,1502
00:04:16.01,1502
00:04:16.01,1710
00:04:16.11,1737
00:04:16.27,1501
00:04:16.27,1709
00:04:16.36,1730
00:04:16.52,1645
00:04:16.61,1617
00:04:16.65,1501
00:04:16.73,1502
00:04:16.76,1502
00:04:16.77,1675
00:04:16.84,1502
00:04:16.87,1736
00:04:16.88,1501
00:04:16.89,1501
00:04:16.90,1501
00:04:16.91,1501
00:04:16.96,1502
00:04:17.02,1502
00:04:17.02,1502
00:04:17.03,1728
00:04:17.05,1502
00:04:17.07,1501
00:04:17.11,1501
